"","title","price","date"
"90","
							Partner
						","1,39,23,49,260","20 Jul 2007"
"91","
							Singh Is Kinng
						","1,34,90,72,760","08 Aug 2008"
"92","
							Judaai
						","1,34,48,41,280","28 Feb 1997"
"93","
							Chak De India
						","1,34,47,45,110","10 Aug 2007"
"94","
							Fanaa
						","1,34,12,82,990","26 May 2006"
"95","
							Judwaa 2
						","1,32,39,00,000","29 Sep 2017"
"96","
							Toilet Ek Prem Katha
						","1,32,07,00,000","11 Aug 2017"
"97","
							Bandit Queen
						","1,30,54,11,580","26 Jan 1996"
"98","
							Hum Aapke Dil Mein Rehte Hain
						","1,29,70,44,790","22 Jan 1999"
"99","
							Veer Zaara
						","1,28,41,58,010","12 Nov 2004"
"100","
							No Entry
						","1,27,28,09,950","26 Aug 2005"
